2019-09-01 12:35:33
Running ./matvec_cuda
Run on (48 X 2494.18 MHz CPU s)
CPU Caches:
  L1 Data 32K (x24)
  L1 Instruction 32K (x24)
  L2 Unified 256K (x24)
  L3 Unified 30720K (x2)
Load Average: 0.60, 0.76, 0.65
-------------------------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations UserCounters...
BM_MDSpan_CUDA_MatVec/right                    64800010 ns     64868377 ns           11 bytes_per_second=114.88G/s
BM_MDSpan_CUDA_MatVec/right                    64778742 ns     64847053 ns           11 bytes_per_second=114.918G/s
BM_MDSpan_CUDA_MatVec/right                    64753726 ns     64821962 ns           11 bytes_per_second=114.962G/s
BM_MDSpan_CUDA_MatVec/right                    64770737 ns     64839094 ns           11 bytes_per_second=114.932G/s
BM_MDSpan_CUDA_MatVec/right                    64756193 ns     64826607 ns           11 bytes_per_second=114.954G/s
BM_MDSpan_CUDA_MatVec/right                    64744923 ns     64815079 ns           11 bytes_per_second=114.974G/s
BM_MDSpan_CUDA_MatVec/right                    64778563 ns     64848782 ns           11 bytes_per_second=114.915G/s
BM_MDSpan_CUDA_MatVec/right                    64747173 ns     64817409 ns           11 bytes_per_second=114.97G/s
BM_MDSpan_CUDA_MatVec/right                    64775651 ns     64846519 ns           11 bytes_per_second=114.919G/s
BM_MDSpan_CUDA_MatVec/right                    64765486 ns     64834173 ns           11 bytes_per_second=114.94G/s
BM_MDSpan_CUDA_MatVec/right                    64807572 ns     64876520 ns           11 bytes_per_second=114.865G/s
BM_MDSpan_CUDA_MatVec/right                    64758663 ns     64827302 ns           11 bytes_per_second=114.953G/s
BM_MDSpan_CUDA_MatVec/right                    64755083 ns     64825935 ns           11 bytes_per_second=114.955G/s
BM_MDSpan_CUDA_MatVec/right                    64758817 ns     64829678 ns           11 bytes_per_second=114.948G/s
BM_MDSpan_CUDA_MatVec/right                    64771186 ns     64841524 ns           11 bytes_per_second=114.927G/s
BM_MDSpan_CUDA_MatVec/right                    64797628 ns     64868056 ns           11 bytes_per_second=114.88G/s
BM_MDSpan_CUDA_MatVec/right                    64751914 ns     64822216 ns           11 bytes_per_second=114.962G/s
BM_MDSpan_CUDA_MatVec/right                    64802107 ns     64873017 ns           11 bytes_per_second=114.872G/s
BM_MDSpan_CUDA_MatVec/right                    64771611 ns     64840463 ns           11 bytes_per_second=114.929G/s
BM_MDSpan_CUDA_MatVec/right                    64764268 ns     64832934 ns           11 bytes_per_second=114.943G/s
BM_MDSpan_CUDA_MatVec/right                    64766222 ns     64834387 ns           11 bytes_per_second=114.94G/s
BM_MDSpan_CUDA_MatVec/right                    64768584 ns     64839454 ns           11 bytes_per_second=114.931G/s
BM_MDSpan_CUDA_MatVec/right                    64772752 ns     64843603 ns           11 bytes_per_second=114.924G/s
BM_MDSpan_CUDA_MatVec/right                    64740844 ns     64810608 ns           11 bytes_per_second=114.982G/s
BM_MDSpan_CUDA_MatVec/right                    64737427 ns     64807669 ns           11 bytes_per_second=114.987G/s
BM_MDSpan_CUDA_MatVec/right                    64767673 ns     64837900 ns           11 bytes_per_second=114.934G/s
BM_MDSpan_CUDA_MatVec/right                    64736345 ns     64807182 ns           11 bytes_per_second=114.988G/s
BM_MDSpan_CUDA_MatVec/right                    64764686 ns     64833317 ns           11 bytes_per_second=114.942G/s
BM_MDSpan_CUDA_MatVec/right                    64771073 ns     64839926 ns           11 bytes_per_second=114.93G/s
