2019-09-01 12:39:07
Running ./matvec_openmp
Run on (96 X 2101 MHz CPU s)
CPU Caches:
  L1 Data 32K (x48)
  L1 Instruction 32K (x48)
  L2 Unified 1024K (x48)
  L3 Unified 33792K (x2)
Load Average: 0.00, 0.01, 0.08
***WARNING*** Library was built as DEBUG. Timings may be affected.
---------------------------------------------------------------------------------------------------------
Benchmark                                               Time             CPU   Iterations UserCounters...
BM_MDSpan_OpenMP_MatVec/left                    993098421 ns    990727778 ns            1 bytes_per_second=75.2181G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left_mean               995028253 ns    992649858 ns           50 bytes_per_second=75.0731G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left_median             994101785 ns    991729034 ns           50 bytes_per_second=75.1422G/s repeats=1
BM_MDSpan_OpenMP_MatVec/left_stddev               2875776 ns      2868502 ns           50 bytes_per_second=221.354M/s repeats=0
BM_MDSpan_OpenMP_MatVec/right                   349165221 ns    348331879 ns            2 bytes_per_second=213.936G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349607114 ns    348772444 ns            2 bytes_per_second=213.666G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349515982 ns    348681731 ns            2 bytes_per_second=213.721G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349905088 ns    349069803 ns            2 bytes_per_second=213.484G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349888021 ns    349052972 ns            2 bytes_per_second=213.494G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349212721 ns    348379273 ns            2 bytes_per_second=213.907G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349769241 ns    348934487 ns            2 bytes_per_second=213.566G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   350086826 ns    349251439 ns            2 bytes_per_second=213.373G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349373518 ns    348539685 ns            2 bytes_per_second=213.808G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   350127490 ns    349291712 ns            2 bytes_per_second=213.348G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349365664 ns    348531418 ns            2 bytes_per_second=213.813G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349367550 ns    348533468 ns            2 bytes_per_second=213.812G/s repeats=1
BM_MDSpan_OpenMP_MatVec/right                   349294032 ns    348460290 ns            2 bytes_per_second=213.857G/s repeats=1
